Barras	Linhas	Tipos_Linhas	#SE	VSE[kV]	Tipos_S/E
303	305	0.069445	0.04788	1	1
96	115	0.04386	0.03024	1	1
9	10	0.046736	0.039456	1	1
29	25	0.054825	0.0378	1	1
377	376	0.1114775	0.07686	1	1
83	98	0.13158	0.09072	1	1
2	9	0.1078225	0.07434	1	1
25	52	0.1005125	0.0693	1	1
303	377	0.0588455	0.040572	1	1
100	95	0.105995	0.07308	1	1
9	87	0.1095375	0.092475	1	1
21	32	0.04386	0.03024	1	1
308	306	0.098685	0.06804	1	1
99	100	0.05848	0.04032	1	1
87	88	0.08041	0.05544	1	1
20	56	0.215645	0.14868	1	1
313	316	0.0815065	0.056196	1	1
101	99	0.054825	0.0378	1	1
98	101	0.05117	0.03528	1	1
186	166	0.084709	0.071514	1	1
313	317	0.072369	0.049896	1	1
137	193	0.0127925	0.00882	1	1
95	116	0.0785825	0.05418	1	1
166	174	0.090551	0.076446	1	1
300	304	0.04386	0.03024	1	1
154	150	0.069445	0.04788	1	1
116	96	0.040205	0.02772	1	1
174	180	0.084709	0.071514	1	1
309	314	0.061404	0.042336	1	1
125	123	0.02924	0.02016	1	1
97	93	0.040205	0.02772	1	1
159	179	0.04386	0.03024	1	1
309	304	0.082603	0.056952	1	1
415	350	0.22661	0.15624	1	1
115	97	0.062135	0.04284	1	1
179	176	0.054825	0.0378	1	1
128	345	0.261698	0.180432	1	1
415	349	0.22661	0.15624	1	1
56	146	0.157165	0.10836	1	1
168	161	0.076755	0.05292	1	1
89	369	0.157896	0.108864	1	1
349	202	0.023392	0.016128	1	1
152	140	0.073025	0.06165	1	1
161	182	0.084065	0.05796	1	1
381	382	0.1502205	0.103572	1	1
350	378	0.023392	0.016128	1	1
146	141	0.105995	0.07308	1	1
182	181	0.032895	0.02268	1	1
65	251	0.192984	0.133056	1	1
202	203	0.0511175	0.043155	1	1
141	135	0.08041	0.05544	1	1
159	180	0.091375	0.063	1	1
383	242	0.227341	0.156744	1	1
203	204	0.062135	0.04284	1	1
131	152	0.08772	0.06048	1	1
180	177	0.05848	0.04032	1	1
84	243	0.1399865	0.096516	1	1
202	205	0.1034034	0.0872964	1	1
135	131	0.149855	0.10332	1	1
170	162	0.064262	0.054252	1	1
351	413	0.0705415	0.048636	1	1
378	379	0.1034034	0.0872964	1	1
56	148	0.069445	0.04788	1	1
162	183	0.075946	0.064116	1	1
413	384	0.0720035	0.049644	1	1
205	206	0.0598805	0.050553	1	1
56	124	0.091375	0.063	1	1
159	128	0.227838	0.192348	1	1
413	400	0.0727345	0.050148	1	1
416	374	0.010965	0.00756	1	1
126	123	0.02924	0.02016	1	1
128	140	0.032131	0.027126	1	1
400	385	0.059211	0.040824	1	1
207	208	0.0383775	0.02646	1	1
127	126	0.27047	0.18648	1	1
130	156	0.03655	0.0252	1	1
400	401	0.070907	0.048888	1	1
208	209	0.11696	0.08064	1	1
124	127	0.02193	0.01512	1	1
129	130	0.054825	0.0378	1	1
401	386	0.0566525	0.03906	1	1
208	210	0.0559215	0.038556	1	1
199	118	0.076755	0.05292	1	1
140	129	0.046736	0.039456	1	1
401	402	0.0595765	0.041076	1	1
210	416	0.056287	0.038808	1	1
199	200	0.00731	0.00504	1	1
156	132	0.113305	0.07812	1	1
402	387	0.083334	0.057456	1	1
374	201	0.149855	0.10332	1	1
157	199	0.02193	0.01512	1	1
132	139	0.105995	0.07308	1	1
402	403	0.0683485	0.047124	1	1
201	415	0.48246	0.33264	1	1
123	157	0.10234	0.07056	1	1
139	146	0.15351	0.10584	1	1
367	344	0.1151325	0.07938	1	1
372	351	0.1041675	0.07182	1	1
198	191	0.01462	0.01008	1	1
128	153	0.035052	0.029592	1	1
344	345	0.05848	0.04032	1	1
351	211	0.1136705	0.078372	1	1
198	196	0.069445	0.04788	1	1
136	143	0.09503	0.06552	1	1
344	368	0.0529975	0.03654	1	1
351	352	0.2138175	0.14742	1	1
158	198	0.27047	0.18648	1	1
143	147	0.09503	0.06552	1	1
399	403	0.047515	0.03276	1	1
352	212	0.201025	0.1386	1	1
196	190	0.010965	0.00756	1	1
153	155	0.032131	0.027126	1	1
403	404	0.040205	0.02772	1	1
352	213	0.0500735	0.034524	1	1
158	189	0.2359	0.2402	1	1
155	136	0.084065	0.05796	1	1
404	388	0.0588455	0.040572	1	1
415	214	0.3475905	0.239652	1	1
158	160	0.084065	0.05796	1	1
142	149	0.098685	0.06804	1	1
404	405	0.071638	0.049392	1	1
214	215	0.105995	0.07308	1	1
160	171	0.08772	0.06048	1	1
149	147	0.02193	0.01512	1	1
405	389	0.045322	0.031248	1	1
215	216	0.099314	0.083844	1	1
171	187	0.091375	0.063	1	1
133	138	0.119761	0.101106	1	1
405	390	0.0731	0.0504	1	1
215	217	0.06579	0.04536	1	1
187	167	0.091375	0.063	1	1
138	142	0.062135	0.04284	1	1
403	406	0.083334	0.057456	1	1
217	218	0.002924	0.002016	1	1
175	178	0.06579	0.04536	1	1
153	133	0.078867	0.066582	1	1
406	391	0.0785825	0.05418	1	1
218	219	0.08041	0.05544	1	1
167	175	0.113305	0.07812	1	1
147	56	0.1462	0.1008	1	1
406	407	0.048977	0.033768	1	1
219	222	0.0709803	0.0599238	1	1
160	184	0.13158	0.09072	1	1
128	150	0.032895	0.02268	1	1
407	408	0.0668865	0.046116	1	1
222	236	0.081788	0.069048	1	1
184	163	0.091375	0.063	1	1
144	145	0.032895	0.02268	1	1
408	392	0.073831	0.050904	1	1
236	237	0.0622173	0.0525258	1	1
163	164	0.032895	0.02268	1	1
145	148	0.054825	0.0378	1	1
408	393	0.0690795	0.047628	1	1
236	371	0.0537464	0.0453744	1	1
164	172	0.13889	0.09576	1	1
151	134	0.076755	0.05292	1	1
407	409	0.0551905	0.038052	1	1
238	239	0.005842	0.004932	1	1
172	178	0.113305	0.07812	1	1
134	144	0.142545	0.09828	1	1
409	414	0.06579	0.04536	1	1
238	242	0.0835406	0.0705276	1	1
178	159	0.069445	0.04788	1	1
134	194	0.0091375	0.0063	1	1
409	410	0.064328	0.044352	1	1
242	354	0.0054825	0.00378	1	1
158	181	0.054096	0.063812	1	1
150	151	0.054825	0.0378	1	1
410	394	0.0595765	0.041076	1	1
354	353	0.127925	0.0882	1	1
181	185	0.0483	0.056975	1	1
417	189	0.14154	0.14412	1	1
410	411	0.0676175	0.04662	1	1
353	241	0.018275	0.0126	1	1
185	165	0.037744	0.038432	1	1
189	188	0.0731	0.0504	1	1
411	398	0.0566525	0.03906	1	1
353	240	0.0731	0.0504	1	1
165	169	0.037744	0.038432	1	1
188	197	0.10965	0.0756	1	1
411	397	0.071638	0.049392	1	1
242	355	0.0091375	0.0063	1	1
169	173	0.02921	0.02466	1	1
197	195	0.03655	0.0252	1	1
411	412	0.0873545	0.060228	1	1
355	356	0.05117	0.03528	1	1
173	179	0.063693	0.064854	1	1
188	192	0.023392	0.016128	1	1
412	396	0.0705415	0.048636	1	1
356	243	0.0127925	0.00882	1	1
158	183	0.22661	0.15624	1	1
148	137	0.127925	0.0882	1	1
412	395	0.069445	0.04788	1	1
356	244	0.0054825	0.00378	1	1
183	186	0.035052	0.029592	1	1
137	154	0.105995	0.07308	1	1
289	288	0.062866	0.043344	1	1
242	245	0.0365125	0.030825	1	1
245	246	0.052632	0.036288	1	1
264	265	0.1078225	0.07434	1	1
288	287	0.046784	0.032256	1	1
305	309	0.126463	0.087192	1	1
246	247	0.0727345	0.050148	1	1
265	266	0.099416	0.068544	1	1
287	299	0.1867705	0.128772	1	1
309	319	0.0127925	0.00882	1	1
242	248	0.0487807	0.0411822	1	1
266	267	0.156434	0.107856	1	1
299	285	0.10965	0.0756	1	1
309	313	0.072369	0.049896	1	1
248	357	0.043129	0.029736	1	1
267	268	0.0549647	0.0559666	1	1
415	372	0.027778	0.019152	1	1
313	308	0.0698105	0.048132	1	1
357	358	0.0054825	0.00378	1	1
268	364	0.07077	0.07206	1	1
299	284	0.081141	0.055944	1	1
308	312	0.0785825	0.05418	1	1
358	249	0.0201025	0.01386	1	1
364	365	0.025585	0.01764	1	1
299	300	0.0932025	0.06426	1	1
312	316	0.0683485	0.047124	1	1
358	250	0.1407175	0.09702	1	1
365	269	0.1005125	0.0693	1	1
300	301	0.055556	0.038304	1	1
316	318	0.123539	0.085176	1	1
250	251	0.1882325	0.12978	1	1
365	270	0.0164475	0.01134	1	1
301	302	0.045322	0.031248	1	1
318	317	0.066521	0.045864	1	1
250	359	0.098685	0.06804	1	1
364	362	0.0483595	0.049241	1	1
302	303	0.195177	0.134568	1	1
317	314	0.069445	0.04788	1	1
359	252	0.049708	0.034272	1	1
362	361	0.018872	0.019216	1	1
303	304	0.208335	0.14364	1	1
314	310	0.083334	0.057456	1	1
252	253	0.0458597	0.0387162	1	1
362	380	0.26316	0.18144	1	1
304	307	0.050439	0.034776	1	1
310	303	0.105264	0.072576	1	1
253	360	0.0588455	0.040572	1	1
361	271	0.0164475	0.01134	1	1
307	315	0.2218585	0.152964	1	1
295	259	0.0478805	0.033012	1	1
360	255	0.040205	0.02772	1	1
361	416	0.02415	0.0284875	1	1
315	311	0.105264	0.072576	1	1
259	286	0.035819	0.024696	1	1
253	254	0.0274125	0.0189	1	1
416	363	0.28509	0.19656	1	1
311	306	0.072369	0.049896	1	1
259	323	0.1078225	0.07434	1	1
253	256	0.078867	0.066582	1	1
363	283	0.1041675	0.07182	1	1
306	299	0.078217	0.053928	1	1
323	325	0.0054825	0.00378	1	1
256	257	0.105995	0.07308	1	1
363	284	0.05848	0.04032	1	1
333	335	0.0712725	0.04914	1	1
323	265	0.103802	0.071568	1	1
256	282	0.0537464	0.0453744	1	1
380	267	0.3095785	0.213444	1	1
335	322	0.054825	0.0378	1	1
323	324	0.048246	0.033264	1	1
282	281	0.0663067	0.0559782	1	1
267	326	0.0383775	0.02646	1	1
335	336	0.0646935	0.044604	1	1
323	322	0.08772	0.06048	1	1
281	233	0.055499	0.046854	1	1
326	327	0.054825	0.0378	1	1
336	337	0.02924	0.02016	1	1
322	321	0.0676175	0.04662	1	1
233	232	0.0277495	0.023427	1	1
267	296	0.050439	0.034776	1	1
337	338	0.0420325	0.02898	1	1
321	320	0.09503	0.06552	1	1
232	375	0.011684	0.009864	1	1
296	295	0.050439	0.034776	1	1
338	264	0.067983	0.046872	1	1
320	298	0.070176	0.048384	1	1
229	230	0.0455676	0.0384696	1	1
295	294	0.0741965	0.051156	1	1
264	366	0.008772	0.006048	1	1
298	295	0.038012	0.026208	1	1
229	227	0.026289	0.022194	1	1
295	297	0.0376465	0.025956	1	1
366	339	0.0010965	0.000756	1	1
321	328	0.031433	0.021672	1	1
227	370	0.046736	0.039456	1	1
294	293	0.022661	0.015624	1	1
339	340	0.0274125	0.0189	1	1
328	329	0.0266815	0.018396	1	1
370	373	0.0394335	0.033291	1	1
293	291	0.0917405	0.063252	1	1
340	341	0.113305	0.07812	1	1
329	330	0.041667	0.028728	1	1
373	226	0.003655	0.00252	1	1
267	291	0.098685	0.06804	1	1
333	334	0.0559215	0.038556	1	1
330	331	0.0274125	0.0189	1	1
373	225	0.0023368	0.0019728	1	1
291	289	0.016813	0.011592	1	1
340	367	0.179095	0.12348	1	1
328	332	0.05848	0.04032	1	1
225	224	0.0274125	0.0189	1	1
289	290	0.0054825	0.00378	1	1
375	229	0.0277495	0.023427	1	1
332	333	0.041667	0.028728	1	1
367	342	0.0091375	0.0063	1	1
0	416	0	0	1	1
0	417	0	0	1	1

Barra	P[kW]	Q[kW]
0	0	0
1	0	0
2	122	59
3	0	0
4	0	0
5	114	55
6	51	25
7	83	40
8	0	0
9	122	59
10	122	59
11	77	37
12	0	0
13	68	33
14	71	34
15	0	0
16	0	0
17	77	37
18	30	14
19	13	6
20	1	0
21	194	94
22	77	37
23	77	37
24	77	37
25	122	59
26	104	51
27	0	0
28	77	37
29	243	118
30	77	37
31	77	37
32	0	0
33	121	58
34	194	94
35	122	59
36	77	37
37	0	0
38	0	0
39	96	47
40	122	59
41	70	34
42	58	28
43	0	0
44	122	59
45	122	59
46	122	59
47	86	42
48	77	37
49	0	0
50	122	59
51	122	59
52	122	59
53	0	0
54	42	20
55	122	59
56	13	6
57	77	37
58	50	24
59	0	0
60	60	29
61	71	34
62	122	59
63	77	37
64	95	46
65	121	58
66	77	37
67	103	50
68	52	25
69	57	27
70	171	83
71	121	58
72	39	19
73	119	58
74	49	24
75	0	0
76	50	24
77	44	21
78	82	40
79	132	64
80	194	94
81	0	0
82	122	59
83	3	1
84	52	25
85	103	50
86	21	10
87	21	10
88	21	10
89	5	3
90	0	0
91	0	0
92	21	10
93	18	9
94	122	59
95	116	56
96	7	3
97	64	31
98	49	24
99	16	8
100	77	37
101	119	58
102	71	34
103	77	37
104	194	94
105	122	59
106	55	27
107	38	18
108	22	10
109	0	0
110	77	37
111	122	59
112	38	18
113	122	59
114	27	13
115	64	31
116	0	0
117	0	0
118	0	0
119	0	0
120	79	38
121	247	119
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	77	37
129	122	59
130	62	30
131	105	51
132	122	59
133	77	37
134	77	37
135	0	0
136	85	41
137	8	4
138	122	59
139	35	17
140	55	27
141	153	74
142	316	153
143	105	51
144	20	10
145	95	46
146	38	18
147	83	40
148	50	24
149	77	37
150	122	59
151	102	49
152	60	29
153	77	37
154	194	94
155	56	27
156	122	59
157	0	0
158	3	1
159	1	0
160	52	25
161	194	94
162	10	5
163	128	62
164	16	8
165	37	18
166	154	75
167	0	0
168	0	0
169	78	38
170	0	0
171	27	13
172	103	50
173	122	59
174	72	35
175	0	0
176	122	59
177	194	94
178	0	0
179	77	37
180	82	40
181	53	26
182	122	59
183	64	31
184	86	42
185	82	40
186	0	0
187	167	81
188	0	0
189	0	0
190	131	64
191	21	10
192	21	10
193	21	10
194	21	10
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	52	25
201	202	98
202	202	98
203	73	35
204	81	39
205	115	56
206	118	57
207	318	154
208	161	78
209	126	61
210	59	29
211	24	12
212	24	12
213	5	2
214	126	61
215	56	27
216	62	30
217	0	0
218	32	15
219	158	77
220	126	61
221	202	98
222	41	20
223	81	39
224	126	61
225	202	98
226	18	9
227	202	98
228	106	51
229	175	85
230	174	84
231	113	55
232	202	98
233	0	0
234	202	98
235	403	195
236	202	98
237	126	61
238	0	0
239	29	14
240	9	4
241	5	2
242	0	0
243	18	9
244	45	22
245	32	16
246	61	30
247	81	39
248	126	61
249	23	11
250	14	7
251	18	9
252	126	61
253	5	3
254	26	13
255	18	9
256	126	61
257	81	39
258	0	0
259	126	61
260	41	20
261	0	0
262	28	14
263	30	14
264	81	39
265	202	98
266	318	154
267	176	85
268	126	61
269	6	3
270	31	15
271	60	29
272	56	27
273	126	61
274	118	57
275	126	61
276	202	98
277	10	5
278	126	61
279	202	98
280	318	154
281	82	40
282	126	61
283	22	10
284	13	6
285	71	34
286	101	49
287	113	54
288	126	61
289	0	0
290	34	17
291	83	40
292	59	29
293	126	61
294	145	70
295	202	98
296	50	24
297	41	20
298	202	98
299	77	37
300	161	78
301	477	231
302	68	33
303	14	7
304	4	2
305	0	0
306	66	32
307	0	0
308	60	29
309	95	46
310	0	0
311	19	9
312	67	32
313	18	9
314	33	16
315	21	10
316	33	16
317	42	20
318	52	25
319	43	21
320	126	61
321	107	52
322	202	98
323	126	61
324	24	12
325	101	49
326	81	39
327	155	75
328	23	11
329	31	15
330	126	61
331	13	6
332	56	27
333	120	58
334	126	61
335	403	195
336	81	39
337	177	86
338	151	73
339	9	4
340	29	14
341	14	7
342	23	11
343	45	22
344	0	0
345	36	17
346	5	2
347	9	4
348	80	39
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	86	41
377	86	41
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	68	33
385	15	7
386	56	27
387	12	6
388	50	24
389	115	56
390	14	7
391	5	2
392	19	9
393	34	17
394	10	5
395	40	19
396	28	14
397	14	7
398	17	8
399	41	20
400	0	0
401	0	0
402	0	0
403	0	0
404	0	0
405	0	0
406	0	0
407	0	0
408	0	0
409	0	0
410	0	0
411	0	0
412	0	0
413	0	0
414	19	9
415	0	0
416	0	0
417	0	0
