Barras	Linhas	Tipos_Linhas	#SE	VSE[kV]	Tipos_S/E
48	51	0.04502	0.10394	1	-1
51	52	0.02626	0.06063	1	-1
52	53	0.06003	0.13858	1	-1
53	54	0.03002	0.06929	1	-1
54	55	0.02064	0.04764	1	-1
52	56	0.10881	0.25118	1	-1
56	57	0.25588	0.13460	1	-1
57	58	0.41699	0.21934	1	-1
58	59	0.50228	0.26421	1	-1
59	60	0.33170	0.17448	1	-1
60	61	0.20849	0.10967	1	-1
47	62	0.13882	0.32047	1	-1
0	63	0.00750	0.01732	1	-1
63	64	0.27014	0.62362	1	-1
64	65	0.38270	0.88346	1	-1
65	66	0.33018	0.76220	1	-1
66	67	0.32830	0.75787	1	-1
67	68	0.17072	0.39409	1	-1
68	69	0.55914	0.29412	1	-1
68	70	0.05816	0.13425	1	-1
70	71	0.70130	0.36890	1	-1
71	72	1.02352	0.53839	1	-1
70	73	0.06754	0.15591	1	-1
73	74	1.32352	0.45397	1	-1
0	75	0.01126	0.02598	1	-1
75	76	0.72976	1.68464	1	-1
76	77	0.22512	0.51968	1	-1
77	78	0.20824	0.48071	1	-1
78	79	0.04690	0.10827	1	-1
79	80	0.61950	0.61857	1	-1
80	81	0.34049	0.33998	1	-1
81	82	0.56862	0.29911	1	-1
81	83	0.10877	0.10860	1	-1
83	84	0.56862	0.29911	1	-1
0	85	0.01126	0.02598	1	-1
85	86	0.41835	0.96575	1	-1
86	87	0.10499	0.13641	1	-1
86	88	0.43898	1.01338	1	-1
88	89	0.07520	0.02579	1	-1
89	90	0.07692	0.17756	1	-1
90	91	0.33205	0.76653	1	-1
91	92	0.08442	0.19488	1	-1
92	93	0.13320	0.30748	1	-1
93	94	0.29320	0.29276	1	-1
94	95	0.21753	0.21721	1	-1
95	96	0.26482	0.26443	1	-1
93	97	0.10318	0.23819	1	-1
97	98	0.13507	0.31181	1	-1
0	99	0.00938	0.02165	1	-1
99	100	0.16884	0.38976	1	-1
100	101	0.11819	0.27283	1	-1
101	102	2.28608	0.78414	1	-1
101	103	0.45587	1.05236	1	-1
103	104	0.69600	1.60669	1	-1
104	105	0.45774	1.05669	1	-1
105	106	0.20298	0.26373	1	-1
106	107	0.21348	0.27737	1	-1
107	108	0.54967	0.28914	1	-1
108	109	0.54019	0.28415	1	-1
107	110	0.04550	0.05911	1	-1
110	111	0.47385	0.24926	1	-1
111	112	0.86241	0.45364	1	-1
112	113	0.56862	0.29911	1	-1
108	114	0.77711	0.40878	1	-1
114	115	1.08038	0.56830	1	-1
109	116	1.09933	0.57827	1	-1
116	117	0.47385	0.24926	1	-1
104	118	0.32267	0.74488	1	-1
118	119	0.14633	0.33779	1	-1
119	120	0.12382	0.28583	1	-1
0	121	0.01126	0.02598	1	-1
121	122	0.64910	1.49842	1	-1
122	123	0.04502	0.10394	1	-1
123	124	0.52640	0.18056	1	-1
123	125	0.02064	0.04764	1	-1
125	126	0.53071	0.27917	1	-1
125	127	0.09755	0.22520	1	-1
127	128	0.11819	0.27283	1	-1
127	129	0.13882	0.32047	1	-1
129	130	0.04315	0.09961	1	-1
130	131	0.09192	0.21220	1	-1
131	132	0.16134	0.37244	1	-1
132	133	0.37832	0.37775	1	-1
133	134	0.39724	0.39664	1	-1
134	135	0.29320	0.29276	1	-1
7	73	0.13132	0.30315	1	-1
9	24	0.26536	0.13958	1	-1
15	83	0.14187	0.14166	1	-1
38	135	0.08512	0.08499	1	-1
25	51	0.04502	0.10394	1	-1
50	96	0.14187	0.14166	1	-1
55	98	0.14187	0.14166	1	-1
62	120	0.03940	0.09094	1	-1
66	79	0.12944	0.29882	1	-1
79	131	0.01688	0.03898	1	-1
84	135	0.33170	0.17448	1	-1
91	104	0.14187	0.14166	1	-1
90	129	0.07692	0.17756	1	-1
90	103	0.07692	0.17756	1	-1
92	104	0.07692	0.17756	1	-1
92	132	0.07692	0.17756	1	-1
96	120	0.26482	0.26443	1	-1
110	47	0.49696	0.64567	1	-1
126	76	0.17059	0.08973	1	-1
128	77	0.05253	0.12126	1	-1
135	98	0.29320	0.29276	1	-1

Barras	P[kW]	Q[kVAr]
0	0.0	0.0
1	0.0	0.0
2	47.780	19.009
3	42.551	16.929
4	87.022	34.622
5	311.310	123.855
6	148.869	59.228
7	238.672	94.956
8	62.299	24.786
9	124.598	49.571
10	140.175	55.768
11	116.813	46.474
12	249.203	99.145
13	291.447	115.952
14	303.720	120.835
15	215.396	85.695
16	198.586	79.007
17	0.0	0.0
18	0.0	0.0
19	0.0	0.0
20	30.127	14.729
21	230.972	112.920
22	60.256	29.458
23	230.972	112.920
24	120.507	58.915
25	0.0	0.0
26	56.981	27.857
27	364.665	178.281
28	0.0	0.0
29	124.647	60.939
30	56.981	27.857
31	0.0	0.0
32	85.473	41.787
33	0.0	0.0
34	396.735	193.960
35	0.0	0.0
36	181.152	88.563
37	242.172	118.395
38	75.316	36.821
39	0.0	0.0
40	1.254	0.531
41	6.274	2.660
42	0.0	0.0
43	117.880	49.971
44	62.668	26.566
45	172.285	73.034
46	458.556	194.388
47	262.962	111.473
48	235.761	99.942
49	0.0	0.0
50	109.215	46.298
51	0.0	0.0
52	72.809	30.865
53	258.473	109.570
54	69.169	29.322
55	21.843	9.260
56	0.0	0.0
57	20.527	8.702
58	150.548	63.819
59	220.687	93.552
60	92.384	39.163
61	0.0	0.0
62	226.693	96.098
63	0.0	0.0
64	294.016	116.974
65	83.015	33.028
66	83.015	33.028
67	103.770	41.285
68	176.408	70.184
69	83.015	33.028
70	217.917	86.698
71	23.294	9.267
72	5.075	2.019
73	72.638	28.899
74	405.990	161.523
75	0.0	0.0
76	100.182	42.468
77	142.523	60.417
78	96.042	40.713
79	300.454	127.366
80	141.238	59.873
81	279.847	118.631
82	87.312	37.013
83	243.849	103.371
84	247.750	105.025
85	0.0	0.0
86	89.878	38.101
87	1137.280	482.108
88	458.339	194.296
89	385.197	163.290
90	0.0	0.0
91	79.608	33.747
92	87.312	37.013
93	0.0	0.0
94	74.001	31.370
95	232.050	98.369
96	141.819	60.119
97	0.0	0.0
98	76.449	32.408
99	0.0	0.0
100	51.322	21.756
101	59.874	25.381
102	9.065	3.843
103	2.092	0.887
104	16.735	7.094
105	1506.522	638.634
106	313.023	132.694
107	79.831	33.842
108	51.322	21.756
109	0.0	0.0
110	202.435	85.815
111	60.823	25.784
112	45.618	19.338
113	0.0	0.0
114	157.070	66.584
115	0.0	0.0
116	250.148	106.041
117	0.0	0.0
118	69.809	29.593
119	32.072	13.596
120	61.084	25.894
121	0.0	0.0
122	94.622	46.260
123	49.858	24.375
124	123.164	60.214
125	78.350	38.304
126	145.475	71.121
127	21.369	10.447
128	74.789	36.564
129	227.926	111.431
130	35.614	17.411
131	249.295	121.877
132	316.722	154.842
133	333.817	163.199
134	249.295	121.877
135	0.0	0.0
